Context,Answer,Gold,Generated,Correct,Error Type,Semantic Error,Answer Revealing,Ghost Entity,Redundant ,Unanswerable 
"The College of the University of Chicago grants Bachelor of Arts and Bachelor of Science degrees in 50 academic majors and 28 minors. The college's academics are divided into five divisions: the Biological Sciences Collegiate Division, the Physical Sciences Collegiate Division, the Social Sciences Collegiate Division, the Humanities Collegiate Division, and the New Collegiate Division. The first four are sections within their corresponding graduate divisions, while the New Collegiate Division administers interdisciplinary majors and studies which do not fit in one of the other four divisions.",50,How many academic majors does the university grant in total?,How many academic majors does the university grant?,,,,,,,
"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary. WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina. As KOA and WBT are both clear-channel stations, the local broadcasts will be audible over much of the western United States after sunset (for Denver) and the eastern United States throughout the game (for Carolina). In accordance with contractual rules, the rest of the stations in the Broncos and Panthers radio networks will either carry the Westwood One feed or not carry the game at all.",KOA (850 AM) and KRFX (103.5 FM),What two radio stations in Denver carried Super Bowl 50?,What two radio stations carried Super Bowl 50?,,,,,,,
"The Mallee and upper Wimmera are Victoria's warmest regions with hot winds blowing from nearby semi-deserts. Average temperatures exceed 32 °C (90 °F) during summer and 15 °C (59 °F) in winter. Except at cool mountain elevations, the inland monthly temperatures are 2–7 °C (4–13 °F) warmer than around Melbourne (see chart). Victoria's highest maximum temperature since World War II, of 48.8 °C (119.8 °F) was recorded in Hopetoun on 7 February 2009, during the 2009 southeastern Australia heat wave.",warmest regions,What is the weather type of Mallee and upper Wimmera?,What is the weather type of Mallee?,,,,,,,
"Fossils found in Kenya suggest that primates roamed the area more than 20 million years ago. Recent findings near Lake Turkana indicate that hominids such as Homo habilis (1.8 and 2.5 million years ago) and Homo erectus (1.8 million to 350,000 years ago) are possible direct ancestors of modern Homo sapiens, and lived in Kenya in the Pleistocene epoch. During excavations at Lake Turkana in 1984, paleoanthropologist Richard Leakey assisted by Kamoya Kimeu discovered the Turkana Boy, a 1.6-million-year-old fossil belonging to Homo erectus. Previous research on early hominids is particularly identified with Mary Leakey and Louis Leakey, who were responsible for the preliminary archaeological research at Olorgesailie and Hyrax Hill. Later work at the former site was undertaken by Glynn Isaac.",more than 20 million years ago,How long ago did primates inhabit Kenya?,How long ago did primates inhabit Kenya?,,,,,,,
"On March 17, 1752, the Governor-General of New France, Marquis de la Jonquière, died and was temporarily replaced by Charles le Moyne de Longueuil. His permanent replacement, the Marquis Duquesne, did not arrive in New France until 1752 to take over the post. The continuing British activity in the Ohio territories prompted Longueuil to dispatch another expedition to the area under the command of Charles Michel de Langlade, an officer in the Troupes de la Marine. Langlade was given 300 men, including French-Canadians and warriors of the Ottawa. His objective was to punish the Miami people of Pickawillany for not following Céloron's orders to cease trading with the British. On June 21, the French war party attacked the trading centre at Pickawillany, capturing three traders and killing 14 people of the Miami nation, including Old Briton. He was reportedly ritually cannibalized by some aboriginal members of the expedition.",punish the Miami people of Pickawillany for not following Céloron's orders to cease trading with the British,Was was the plan for Langlades mission?,What was the Langlades mission?,,,,,,,
"Some scholars, such as Mark U. Edwards in his book Luther's Last Battles: Politics and Polemics 1531–46 (1983), suggest that since Luther's increasingly antisemitic views developed during the years his health deteriorated, it is possible they were at least partly the product of a declining state of mind. Edwards also comments that Luther often deliberately used ""vulgarity and violence"" for effect, both in his writings condemning the Jews and in diatribes against ""Turks"" (Muslims) and Catholics.",Muslims) and Catholics,Who else did Luther use violent rhetoric towards?,Who did Luther use violent rhetoric towards?,,,,,,,
"For a long time, number theory in general, and the study of prime numbers in particular, was seen as the canonical example of pure mathematics, with no applications outside of the self-interest of studying the topic with the exception of use of prime numbered gear teeth to distribute wear evenly. In particular, number theorists such as British mathematician G. H. Hardy prided themselves on doing work that had absolutely no military significance. However, this vision was shattered in the 1970s, when it was publicly announced that prime numbers could be used as the basis for the creation of public key cryptography algorithms. Prime numbers are also used for hash tables and pseudorandom number generators.",G. H. Hardy,What British mathematician took pride in doing work that he felt had no military benefit?,What did the British mathematician feel had no military benefit?,,,,,,,
"In the 1970s, the city was the subject of a song, ""Walking Into Fresno"", written by Hall Of Fame guitarist Bill Aken and recorded by Bob Gallion of the world-famous ""WWVA Jamboree"" radio and television show in Wheeling, West Virginia. Aken, adopted by Mexican movie actress Lupe Mayorga, grew up in the neighboring town of Madera and his song chronicled the hardships faced by the migrant farm workers he saw as a child. Aken also made his first TV appearance playing guitar on the old country-western show at The Fresno Barn.",Bob Gallion,"Who recorded ""Walking in Fresno?""","Who recorded ""Walking in Fresno""?",,,,,,,
"The Shah's army was split by diverse internecine feuds and by the Shah's decision to divide his army into small groups concentrated in various cities. This fragmentation was decisive in Khwarezmia's defeats, as it allowed the Mongols, although exhausted from the long journey, to immediately set about defeating small fractions of the Khwarzemi forces instead of facing a unified defense. The Mongol army quickly seized the town of Otrar, relying on superior strategy and tactics. Genghis Khan ordered the wholesale massacre of many of the civilians, enslaved the rest of the population and executed Inalchuq by pouring molten silver into his ears and eyes, as retribution for his actions. Near the end of the battle the Shah fled rather than surrender. Genghis Khan ordered Subutai and Jebe to hunt him down, giving them 20,000 men and two years to do this. The Shah died under mysterious circumstances on a small island within his empire.",Subutai and Jebe,Who did Genghis Khan charge with finding and punishing the Shah?,Who was Genghis Khan accused of punishing the Shah?,,,,,,,
"Established originally by the Massachusetts legislature and soon thereafter named for John Harvard (its first benefactor), Harvard is the United States' oldest institution of higher learning, and the Harvard Corporation (formally, the President and Fellows of Harvard College) is its first chartered corporation. Although never formally affiliated with any denomination, the early College primarily trained Congregationalist and Unitarian clergy. Its curriculum and student body were gradually secularized during the 18th century, and by the 19th century Harvard had emerged as the central cultural establishment among Boston elites. Following the American Civil War, President Charles W. Eliot's long tenure (1869–1909) transformed the college and affiliated professional schools into a modern research university; Harvard was a founding member of the Association of American Universities in 1900. James Bryant Conant led the university through the Great Depression and World War II and began to reform the curriculum and liberalize admissions after the war. The undergraduate college became coeducational after its 1977 merger with Radcliffe College.",Charles W. Eliot,What president of the university transformed it into a modern research university?,What did the president of Notre Dame do?,,,,,,,
"In 1900, the Los Angeles Times defined southern California as including ""the seven counties of Los Angeles, San Bernardino, Orange, Riverside, San Diego, Ventura and Santa Barbara."" In 1999, the Times added a newer county—Imperial—to that list.",Imperial,What was the newer county added to the list?,What county was added to the list?,,,,,,,
"The length of the Rhine is conventionally measured in ""Rhine-kilometers"" (Rheinkilometer), a scale introduced in 1939 which runs from the Old Rhine Bridge at Constance (0 km) to Hoek van Holland (1036.20 km). The river length is significantly shortened from the river's natural course due to number of canalisation projects completed in the 19th and 20th century.[note 7] The ""total length of the Rhine"", to the inclusion of Lake Constance and the Alpine Rhine is more difficult to measure objectively; it was cited as 1,232 kilometres (766 miles) by the Dutch Rijkswaterstaat in 2010.[note 1]",Old Rhine Bridge at Constance,Where does the Rhine river's measurement begin?,Where does the Rhine river's measurement begin?,,,,,,,
"Like mitochondria, chloroplasts use the potential energy stored in an H+, or hydrogen ion gradient to generate ATP energy. The two photosystems capture light energy to energize electrons taken from water, and release them down an electron transport chain. The molecules between the photosystems harness the electrons' energy to pump hydrogen ions into the thylakoid space, creating a concentration gradient, with more hydrogen ions (up to a thousand times as many) inside the thylakoid system than in the stroma. The hydrogen ions in the thylakoid space then diffuse back down their concentration gradient, flowing back out into the stroma through ATP synthase. ATP synthase uses the energy from the flowing hydrogen ions to phosphorylate adenosine diphosphate into adenosine triphosphate, or ATP. Because chloroplast ATP synthase projects out into the stroma, the ATP is synthesized there, in position to be used in the dark reactions.",adenosine triphosphate,What does ATP mean?,What does ATP mean?,,,,,,,
"The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power ""Big Four"" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings). The E. W. Scripps Company is the largest operator of ABC stations in terms of overall market reach, owning 15 ABC-affiliated stations (including affiliates in larger markets such as Cleveland, Phoenix, Detroit and Denver), and through its ownership of Phoenix affiliate KNXV, Las Vegas affiliate KTNV-TV and Tucson affiliate KGUN-TV, the only provider of ABC programming for the majority of Arizona (outside of the Yuma-El Centro market) and Southern Nevada.",E. W. Scripps Company,What is the largest ABC station operator in terms of market reach?,What is the largest ABC station?,,,,,,,
"With the opening of the Dorothy and Michael Hintze sculpture galleries in 2006 it was decided to extend the chronology of the works on display up to 1950; this has involved loans by other museums, including Tate Britain, so works by Henry Moore and Jacob Epstein along with other of their contemporaries are now on view. These galleries concentrate on works dated 1600 to 1950 by British sculptors, works by continental sculptors who worked in Britain, and works bought by British patrons from the continental sculptors, such as Canova's Theseus and the Minotaur. The galleries overlooking the garden are arranged by theme, tomb sculpture, portraiture, garden sculpture and mythology. Then there is a section that covers late 19th-century and early 20th-century sculpture, this includes work by Rodin and other French sculptors such as Dalou who spent several years in Britain where he taught sculpture.",by theme,How are the galleries overlooking the garden arranged?,How are galleries arranged?,,,,,,,
"NASA's CALIPSO satellite has measured the amount of dust transported by wind from the Sahara to the Amazon: an average 182 million tons of dust are windblown out of the Sahara each year, at 15 degrees west longitude, across 1,600 miles (2,600 km) over the Atlantic Ocean (some dust falls into the Atlantic), then at 35 degrees West longitude at the eastern coast of South America, 27.7 million tons (15%) of dust fall over the Amazon basin, 132 million tons of dust remain in the air, 43 million tons of dust are windblown and falls on the Caribbean Sea, past 75 degrees west longitude.",NASA,What organization runs the satellite that measured dust that landed on the Amazon?,What organization runs the satellite that measured dust on the Amazon?,,,,,,,
"In the motor rallying arena, Kenya is home to the world famous Safari Rally, commonly acknowledged as one of the toughest rallies in the world. It was a part of the World Rally Championship for many years until its exclusion after the 2002 event owing to financial difficulties. Some of the best rally drivers in the world have taken part in and won the rally, such as Björn Waldegård, Hannu Mikkola, Tommi Mäkinen, Shekhar Mehta, Carlos Sainz and Colin McRae. Although the rally still runs annually as part of the Africa rally championship, the organisers are hoping to be allowed to rejoin the World Rally championship in the next couple of years.",one of the toughest rallies in the world,What is the Safair Rally known as?,What is the Safair Rally known as,,,,,,,
"The Parish Church of St Andrew is traditionally recognised as 'the oldest church in this town'. The present building was begun in the 12th Century and the last addition to it, apart from the vestries, was the main porch in 1726. It is quite possible that there was an earlier church here dating from Saxon times. This older church would have been one of several churches along the River Tyne dedicated to St Andrew, including the Priory church at Hexham. The building contains more old stonework than any other church in Newcastle. It is surrounded by the last of the ancient churchyards to retain its original character. Many key names associated with Newcastle's history worshipped and were buried here. The church tower received a battering during the Siege of Newcastle by the Scots who finally breached the Town Wall and forced surrender. Three of the cannonballs remain on site as testament to the siege.",1726,What year was the latest addition to the Church of St. Andrew?,What was the latest addition to the Church of St. Andrew,,,,,,,
